featureName,featureClass,lat,lon,elevationFeet
Kruger Rock,Summit,40.3383173,-105.4855528,9324
The Finger,Pillar,40.3380395,-105.4927753,8622
Panorama Peak,Summit,40.3519285,-105.4088827,9281
Mount Pisgah,Summit,40.3647061,-105.4583292,8625
The Notch,Summit,40.3683172,-105.4338837,8458
Lion Head,Summit,40.310262,-105.4683301,9737
Lowdermild Hill,Summit,40.3091511,-105.3927713,7303
Kenny Mountain,Summit,40.2916512,-105.417217,9285
Popes Hill,Summit,40.2669291,-105.4091613,7877
Pflum Hill,Summit,40.2602625,-105.4166617,7815
Pierson Mountain,Summit,40.3024842,-105.4747194,9800
House Rock,Summit,40.2649844,-105.4880535,9613
Moose Mountain,Summit,40.2949846,-105.3633258,8058
Round Mountain,Summit,40.300818,-105.335269,7447
Gray Mountain,Summit,40.3035959,-105.2852668,6535
Blue Mountain,Summit,40.3352623,-105.2810997,7894
Bald Mountain,Summit,40.3558177,-105.2638765,7093
Beech Hill,Summit,40.2749851,-105.2791557,6519
Rowell Hill,Summit,40.2613739,-105.335825,6562
Button Rock,Pillar,40.2605405,-105.3708264,8012
Flatiron Mountain,Summit,40.3666509,-105.2263749,6184
Trail Mountain,Summit,40.1880411,-105.9661281,9377
Twin Peaks,Summit,40.1644301,-105.752508,11932
Mount Acoma,Summit,40.1758189,-105.7830649,10430
Mount Irving Hale,Summit,40.1377637,-105.7202843,11732
Marten Peak,Summit,40.1433191,-105.6830607,12034
Cooper Peak,Summit,40.150819,-105.6730604,12264
Hiamovi Mountain,Summit,40.1585968,-105.6958391,12398
Watanga Mountain,Summit,40.1685967,-105.7133399,12346
Ogalalla Peak,Summit,40.1702633,-105.6666714,13081
Andrews Peak,Summit,40.2435961,-105.7100069,12539
Mount Alice,Summit,40.2391516,-105.6633384,13281
Pilot Mountain,Summit,40.2313739,-105.6583381,12113
The Cleaver,Summit,40.2172073,-105.6711164,12178
Eagles Beak,Pillar,40.2122074,-105.6641715,12037
Isolation Peak,Summit,40.2027631,-105.6772276,13067
Mount Craig,Summit,40.2191519,-105.7283408,12008
Mount Adams,Summit,40.086653,-105.7327844,9301
Mahana Peak,Summit,40.199152,-105.6669494,12569
Saint Vrain Mountain,Summit,40.1610965,-105.5855571,12149
Meadow Mountain,Summit,40.1749853,-105.5705566,11634
Mount Orton,Summit,40.2272071,-105.6197255,11729
Dragons Egg Rock,Pillar,40.2410959,-105.603336,12155
Mount Meeker,Summit,40.2485958,-105.6050027,13868
Porphyry Mountain,Summit,40.1269299,-105.3880495,8343
Bald Mountain,Summit,40.1385966,-105.4036057,8619
Cannon Mountain,Summit,40.1424855,-105.42944,8609
Miller Rock,Summit,40.1488743,-105.4502741,8638
Taylor Mountain,Summit,40.1958183,-105.4683305,9127
Big John Mountain,Summit,40.1958183,-105.4569411,9071
South Sheep Mountain,Summit,40.2088739,-105.4263843,8254
Smithy Mountain,Summit,40.2130407,-105.3816603,7123
Cook Mountain,Summit,40.2152628,-105.405828,7533
North Sheep Mountain,Summit,40.2224849,-105.4299956,8277
Table Mountain,Summit,40.1274855,-105.2563779,5620
Fairview Peak,Summit,40.1358188,-105.3499925,8530
Red Hill,Summit,40.1741521,-105.283601,6568
